WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
Gm37057	0.229	0.3962	1.1217	1.3522	0.3126	1.2369	4	1.0939
Gm13075	0.9731	1.2004	2.683	1.891	1.0867	2.287	4	1.0941
Olfr1419	0.0963	0.3573	1.3231	1.5145	0.2268	1.4188	4	1.0942
Klhl30	1.6627	1.4425	2.2792	1.8057	1.5526	2.0424	4	1.0943
Kng2	0.3885	0.189	1.2259	1.3522	0.2887	1.289	4	1.0944
Nlrp1c-ps	0.7553	0.5763	0.7251	1.263	0.6658	0.9941	4	1.0944
Gm37220	0.3885	0.275	2.0594	2.1603	0.3317	2.1098	4	1.0944
Gsdmcl-ps	0.1865	0.4709	1.0086	1.5893	0.3287	1.299	4	1.0944
A830029E22Rik	0.4265	0.189	1.0772	1.5893	0.3078	1.3333	4	1.0945
Olfr534-ps1	0.1865	0.5069	1.3606	1.0881	0.3467	1.2244	4	1.0949
Dnmt3aos	1.1622	0.8536	0.8867	0.9358	1.0079	0.9113	4	1.0949
Gm25373	0.3885	0.9084	2.5117	2.0587	0.6484	2.2852	4	1.0949
Stap1	1.4967	1.461	0.8608	1.4678	1.4789	1.1643	4	1.095
Gm12585	1.4615	1.729	2.1147	2.0374	1.5953	2.076	4	1.0951
Inpp5j	1.1401	1.2857	2.4782	2.2738	1.2129	2.376	4	1.0951
Slc28a1	0.5331	0.8536	2.4867	2.237	0.6933	2.3618	4	1.0954
Gm7902	0.3505	0.6098	2.4354	1.9829	0.4801	2.2092	4	1.0954
Gm5616	0.3885	0.5069	0.8351	1.4515	0.4477	1.1433	4	1.0955
Mir5618	1.3294	1.3663	0.8867	1.109	1.3478	0.9979	4	1.0955
2210406H18Rik	1.2271	0.7958	0.6672	1.3173	1.0114	0.9923	4	1.0955
Gm37755	1.6627	1.3857	1.0772	1.263	1.5242	1.1701	4	1.0957
Gm23945	0.3885	0.6425	2.1683	2.4038	0.5155	2.2861	4	1.0958
Gm15047	0.1414	0.8536	1.1852	2.3095	0.4975	1.7473	4	1.0959
Gm23555	0.3885	0.6098	2.4354	2.0479	0.4991	2.2416	4	1.0959
Gm14684	0.8123	1.037	1.2654	2.7161	0.9247	1.9908	4	1.0961
Cfd	1.269	1.109	2.4526	2.3095	1.189	2.381	4	1.0961
1600027J07Rik	0.5666	0.434	0.7536	1.6466	0.5003	1.2001	4	1.0963
Mir327	0.2702	0.189	1.5003	1.3346	0.2296	1.4174	4	1.0963
Atp8b4	1.5145	1.4797	2.2693	2.1306	1.4971	2.2	4	1.0963
Gm10080	1.184	1.2004	0.9613	0.8891	1.1922	0.9252	4	1.0964
Nudt10	1.4615	1.4797	0.9855	1.1884	1.4706	1.087	4	1.0965
Gm7238	1.1401	1.0854	2.2984	2.5233	1.1128	2.4108	4	1.0969
Gm16397	0.4988	0.8254	1.0772	2.5233	0.6621	1.8003	4	1.0969
Gm5229	0.229	0.275	1.2259	1.4515	0.252	1.3387	4	1.0971
Gm44319	0.4988	0.542	2.1365	2.4447	0.5204	2.2906	4	1.0972
Olfr528-ps1	0.1865	0.6745	0.9613	1.3346	0.4305	1.1479	4	1.0972
AC160114.5	0.2702	0.189	1.2851	1.5296	0.2296	1.4073	4	1.0973
Gm37048	0.6323	1.0122	0.8608	0.959	0.8222	0.9099	4	1.0974
Gm25307	0.0963	0.5763	1.2461	1.2259	0.3363	1.236	4	1.0974
Gm37323	0.1865	0.4709	1.0086	1.5597	0.3287	1.2842	4	1.0975
Gm18546	0.6323	0.5763	0.6969	1.4027	0.6043	1.0498	4	1.0975
Adap2os	0.9978	1.2004	2.5998	2.1506	1.0991	2.3752	4	1.0976
Gm25723	0.4265	0.3573	0.9123	1.4678	0.3919	1.19	4	1.0976
Gm6758	0.229	0.5763	1.6727	2.4367	0.4026	2.0547	4	1.0976
Gm13359	0.2702	0.6425	2.2597	2.2088	0.4564	2.2343	4	1.0978
Gm23492	0.9731	0.5069	2.5033	2.1405	0.74	2.3219	4	1.0979
Dpm3	1.3685	1.0122	2.4952	2.1897	1.1904	2.3424	4	1.0981
Gm27905	0.4988	0.434	2.373	2.1003	0.4664	2.2366	4	1.0981
AL626808.1	0.5331	1.0122	2.4441	2.3185	0.7726	2.3813	4	1.0983
AC165256.2	1.0468	0.8536	2.5281	2.2916	0.9502	2.4098	4	1.0985
Gm45690	0.4988	0.3573	2.1257	2.3095	0.428	2.2176	4	1.0986
Gm44770	1.3294	1.461	2.3173	2.2738	1.3952	2.2956	4	1.0987
Gm12512	0.7553	0.6098	0.6969	1.2815	0.6825	0.9892	4	1.0988
Adgrf4	1.4615	1.5845	0.8867	1.6182	1.523	1.2525	4	1.0988
Gm24299	0.5666	1.0614	0.7536	1.129	0.814	0.9413	4	1.0988
Lamp3	0.3885	0.2327	1.1641	1.3173	0.3106	1.2407	4	1.0991
Gm44790	0.5666	1.0614	0.9123	0.9358	0.814	0.9241	4	1.0991
Gm45363	0.8123	0.7364	0.7816	1.0461	0.7743	0.9139	4	1.0991
Pfkfb2	1.1401	1.1776	0.6672	1.2449	1.1589	0.956	4	1.0995
Olfr462	0.6003	0.542	2.2299	2.4287	0.5711	2.3293	4	1.0995
4930583P06Rik	0.1865	0.8254	2.3173	2.1104	0.5059	2.2138	4	1.0995
AA413626	0.6645	1.037	0.8082	1.0036	0.8508	0.9059	4	1.0997
Gm27353	0.5331	0.9351	0.8082	1.0676	0.7341	0.9379	4	1.1
Gm17732	0.4626	0.189	1.2054	1.263	0.3258	1.2342	4	1.1
Asb5	0.9471	0.9613	0.7536	1.025	0.9542	0.8893	4	1.1
Krtap5-2	0.3115	0.3962	2.2497	2.0158	0.3538	2.1328	4	1.1
Rgag1	0.7251	0.987	1.4834	2.7621	0.856	2.1228	4	1.1001
Gm7212	0.3885	0.2327	1.0321	1.688	0.3106	1.36	4	1.1002
Gm26607	0.3885	0.6425	0.7816	1.3857	0.5155	1.0836	4	1.1003
Mir7026	0.7841	0.7364	0.7536	1.0881	0.7602	0.9209	4	1.1003
Gm23927	0.7841	0.6098	2.5842	2.0587	0.6969	2.3215	4	1.1003
Gm37334	0.6951	0.4709	0.7251	1.419	0.583	1.072	4	1.1003
Gm11544	0.7251	0.7058	2.4	2.3956	0.7154	2.3978	4	1.1003
Gm15502	0.3115	0.542	2.189	2.2645	0.4268	2.2268	4	1.1004
Gm37985	1.754	1.5845	1.342	1.419	1.6693	1.3805	4	1.1004
1700021L23Rik	0.8123	0.8536	2.5281	2.3007	0.8329	2.4144	4	1.1005
Fcrl6	0.6323	0.542	2.3363	2.3445	0.5871	2.3404	4	1.1006
Clcnka	1.0229	1.2004	2.6902	1.8671	1.1116	2.2786	4	1.1006
AC133498.1	0.7841	0.8254	0.6369	1.263	0.8047	0.95	4	1.1008
Il23a	1.6938	1.7442	1.4319	1.688	1.719	1.5599	4	1.1009
Gm15565	0.4988	0.4709	2.4699	1.9377	0.4848	2.2038	4	1.1009
Gm13785	0.7841	0.8813	0.6369	1.2449	0.8327	0.9409	4	1.101
Adam1a	0.8408	0.8254	0.7251	1.0881	0.8331	0.9066	4	1.101
Gm6428	1.5145	1.8319	1.9538	1.4834	1.6732	1.7186	4	1.1011
Gm15154	0.3505	0.542	0.8082	1.5597	0.4463	1.184	4	1.1012
4933417O13Rik	0.9731	1.2222	2.5763	2.1991	1.0976	2.3877	4	1.1013
Gm45680	0.4988	0.7364	2.5363	2.0796	0.6176	2.308	4	1.1014
Rpl26-ps5	0.229	0.275	1.3785	1.2815	0.252	1.33	4	1.1014
Crybb2	0.6003	1.0122	2.52	2.2555	0.8062	2.3878	4	1.1015
Gulo	1.2479	1.5504	2.4179	2.1003	1.3992	2.2591	4	1.1017
Fhad1os1	1.7088	1.7442	1.7163	1.5893	1.7265	1.6528	4	1.1017
Gm45398	0.2702	0.189	1.3606	1.4027	0.2296	1.3817	4	1.1018
Slc12a3	0.8408	0.7664	2.5922	2.1702	0.8036	2.3812	4	1.1019
Entpd8	0.8123	0.8254	2.4867	2.3533	0.8188	2.42	4	1.1019
AC121137.1	1.117	1.0854	2.4526	2.3871	1.1012	2.4198	4	1.102
Odf3	1.117	1.3465	2.5922	2.0374	1.2318	2.3148	4	1.102
Gm20662	1.6627	1.6821	2.0133	1.8671	1.6724	1.9402	4	1.1021
AC159504.1	0.1865	0.5069	1.0321	1.3857	0.3467	1.2089	4	1.1022
Gm22200	0.6951	1.109	0.7536	1.0676	0.9021	0.9106	4	1.1026
C1ra	1.5988	1.6821	1.1217	1.5748	1.6405	1.3483	4	1.1026
Gm44091	0.4626	0.7958	0.6969	1.369	0.6292	1.033	4	1.1026
Gm11695	1.1401	1.2004	2.4613	2.3445	1.1703	2.4029	4	1.1026
Gm11775	0.4988	0.5069	2.4441	2.069	0.5028	2.2566	4	1.1027
Ccnd3-ps	1.5988	1.461	1.1427	1.1493	1.5299	1.146	4	1.1027
Gm28502	0.229	0.3161	1.1641	1.419	0.2726	1.2916	4	1.1029
Taar2	0.229	0.5069	0.9366	1.5145	0.3679	1.2255	4	1.103
Gm3544	0.229	0.3962	1.8659	1.109	0.3126	1.4875	4	1.1031
Pla2g10os	1.206	1.5331	2.4265	2.1405	1.3695	2.2835	4	1.1031
Gm7271	0.4265	0.6425	2.3821	2.2274	0.5345	2.3048	4	1.1031
Gm5678	0.7841	0.6425	2.5445	2.1798	0.7133	2.3622	4	1.1031
Rpl9-ps3	0.9214	1.3663	2.5685	2.1306	1.1438	2.3496	4	1.1032
Gm40155	0.5666	0.9351	0.6672	1.2815	0.7508	0.9744	4	1.1032
Gm32352	1.6627	1.4797	2.2597	1.8432	1.5712	2.0515	4	1.1035
Fshr	0.229	0.3573	1.3967	1.1493	0.2931	1.273	4	1.1037
AC153366.1	1.3488	1.5155	2.4354	2.0158	1.4322	2.2256	4	1.1039
Ceacam-ps1	0.4626	0.6425	2.5033	2.0479	0.5525	2.2756	4	1.1039
AC090659.1	0.4988	0.6425	2.4782	2.1405	0.5706	2.3093	4	1.1041
Mir7072	0.4626	0.7058	2.3912	2.2827	0.5842	2.337	4	1.1042
Gm44465	0.7251	0.6098	2.4699	2.2645	0.6674	2.3672	4	1.1042
Olfr1333	0.3505	0.144	1.5811	1.263	0.2473	1.4221	4	1.1047
Gm23943	0.2702	0.2327	1.3785	1.2815	0.2514	1.33	4	1.1048
Gm6039	0.8123	0.8813	0.6069	1.2992	0.8468	0.9531	4	1.1049
AC167669.4	0.5331	1.0854	2.4613	2.3007	0.8092	2.381	4	1.1049
Magea9-ps	0.2702	0.6425	0.8082	1.7803	0.4564	1.2942	4	1.1052
AC154826.1	0.9214	0.542	2.4952	2.2088	0.7317	2.352	4	1.1052
Gm37260	0.1865	0.542	2.1365	2.1702	0.3643	2.1534	4	1.1053
Ube4bos2	0.8679	0.7958	1.0996	0.7398	0.8318	0.9197	4	1.1053
6430562O15Rik	1.8396	1.3857	1.2259	1.4678	1.6126	1.3468	4	1.1054
Mpc1-ps	1.269	1.0854	0.8082	1.0461	1.1772	0.9272	4	1.1054
Gm17065	0.0963	0.3573	2.0133	1.7416	0.2268	1.8774	4	1.1057
Gm32308	0.229	0.144	1.8135	1.6745	0.1865	1.744	4	1.1058
Tmprss11f	1.269	1.5845	1.0086	1.0881	1.4268	1.0484	4	1.106
Vpreb2	0.6323	0.6745	2.2597	2.4924	0.6534	2.376	4	1.1061
Gm25747	1.3488	1.2857	0.7536	1.263	1.3172	1.0083	4	1.1061
Ear-ps7	0.229	0.7364	0.8351	1.4515	0.4827	1.1433	4	1.1062
Gm44282	0.7251	1.0614	0.6369	1.2449	0.8933	0.9409	4	1.1063
Gm29337	1.0229	1.0854	2.5281	2.3185	1.0542	2.4233	4	1.1063
Lyz1	0.4265	0.4709	2.4	2.0374	0.4487	2.2187	4	1.1066
Cd163	1.6313	1.3063	0.9613	1.2815	1.4688	1.1214	4	1.1067
Gm12268	0.8953	0.6745	0.9613	0.8655	0.7849	0.9134	4	1.1069
Gm45217	1.5145	1.5504	2.2984	2.0158	1.5325	2.1571	4	1.1071
Gm24643	0.1414	0.4709	1.3045	1.1884	0.3062	1.2465	4	1.1071
Cdk15	1.4065	1.2857	2.3821	2.2645	1.3461	2.3233	4	1.1071
Olfr9	0.4988	0.434	2.4265	2.0158	0.4664	2.2212	4	1.1072
Gm14101	0.1865	0.7664	0.8351	1.5748	0.4764	1.205	4	1.1073
Gm29143	0.4626	0.3573	2.2597	2.1603	0.4099	2.21	4	1.1074
4930402C01Rik	0.7251	0.8813	2.6681	2.005	0.8032	2.3366	4	1.1074
Carmil2	1.6627	1.729	1.9042	1.4678	1.6958	1.686	4	1.1076
Gm16416	0.6951	0.434	2.5363	1.903	0.5646	2.2197	4	1.1076
AC132384.13	0.1414	0.275	1.517	1.369	0.2082	1.443	4	1.1076
Mir468	0.229	0.3573	1.3785	1.1493	0.2931	1.2639	4	1.1077
Gm16177	0.7841	0.7664	0.6069	1.3522	0.7752	0.9796	4	1.1079
1700007K09Rik	0.3885	0.6745	0.7536	1.4027	0.5315	1.0782	4	1.1079
AC138767.1	0.7841	0.8536	0.8867	0.8891	0.8188	0.8879	4	1.108
Fam216b	0.4988	0.4709	0.7816	1.4356	0.4848	1.1086	4	1.1081
Gm37529	0.4626	0.5069	0.7536	1.545	0.4847	1.1493	4	1.1082
Slamf8	1.0942	1.0122	2.5363	2.3007	1.0532	2.4185	4	1.1085
Gm25889	0.6003	1.5155	1.0086	1.0036	1.0579	1.0061	4	1.1086
Gm42680	0.7251	0.7058	0.6369	1.3346	0.7154	0.9857	4	1.1086
AC148334.2	1.5988	1.86	1.6875	1.7545	1.7294	1.721	4	1.1088
Gm15953	0.6645	0.9351	0.8351	0.959	0.7998	0.8971	4	1.109
Gm25832	1.5656	1.8875	1.5811	1.6466	1.7266	1.6139	4	1.1091
Gm12985	1.8532	1.5331	1.6581	1.4515	1.6931	1.5548	4	1.1091
4930401G09Rik	1.739	1.6341	1.9415	1.4834	1.6866	1.7124	4	1.1095
AC162932.2	1.184	1.0614	0.7251	1.109	1.1227	0.9171	4	1.1098
Gm15479	1.2479	1.5155	2.3821	2.2182	1.3817	2.3001	4	1.1098
Gm6939	1.0942	1.4425	1.0321	0.8891	1.2684	0.9606	4	1.11
Gm5449	0.8408	1.0614	2.4867	2.3871	0.9511	2.4369	4	1.1102
Gm26014	0.5331	1.037	0.6969	1.2259	0.785	0.9614	4	1.1102
AC166359.1	1.0704	0.7664	0.8608	0.9358	0.9184	0.8983	4	1.1103
Ppp1r32	0.6645	0.7058	2.5605	2.1603	0.6851	2.3604	4	1.1104
Gm11550	0.229	0.3962	2.2497	1.8432	0.3126	2.0465	4	1.1106
1700123L14Rik	0.7251	0.6098	0.6969	1.263	0.6674	0.98	4	1.1106
7630403G23Rik	0.1865	0.3161	1.1852	1.4678	0.2513	1.3265	4	1.1106
Gm24207	0.7841	0.8813	0.7251	1.0676	0.8327	0.8964	4	1.1106
Gm3250	0.3115	0.3962	1.4147	1.0036	0.3538	1.2091	4	1.111
AC170997.1	0.5666	1.0122	2.52	2.2555	0.7894	2.3878	4	1.1116
Mecp2	0.2702	0.4709	1.5969	2.4287	0.3706	2.0128	4	1.1117
B020031H02Rik	0.4988	0.7364	2.5445	2.0898	0.6176	2.3172	4	1.1117
Gm13297	0.2702	0.2327	1.517	1.2073	0.2514	1.3621	4	1.1118
Slc6a19	1.5489	1.86	1.84	1.4988	1.7044	1.6694	4	1.1118
Rnu1b2	0.3885	0.144	1.9042	1.2815	0.2663	1.5929	4	1.1119
Gm17148	0.8408	1.0122	0.6969	1.0881	0.9265	0.8925	4	1.1122
Gm29918	1.6471	1.6821	1.2654	1.3857	1.6646	1.3256	4	1.1123
4921508D12Rik	0.6645	0.7958	2.5445	2.237	0.7301	2.3907	4	1.1128
Gm23226	1.0704	1.109	2.4526	2.4122	1.0897	2.4324	4	1.1129
Gm43360	0.9731	1.037	0.8351	0.913	1.005	0.8741	4	1.1129
Gm13489	1.7685	1.5845	2.025	1.7416	1.6765	1.8833	4	1.113
AC155923.1	0.0482	0.5763	1.2851	1.2449	0.3123	1.265	4	1.1134
Isoc2b	1.4967	1.9146	1.7163	1.4834	1.7056	1.5998	4	1.1135
Gm44033	0.8408	0.9084	0.6069	1.263	0.8746	0.935	4	1.1135
Wisp2	0.9214	1.0854	2.5998	2.2274	1.0034	2.4136	4	1.1135
Gm45892	1.1401	1.2648	2.6229	2.0479	1.2025	2.3354	4	1.1138
AC155941.3	1.0468	1.1776	0.7816	1.0036	1.1122	0.8926	4	1.1139
Gm15522	0.9471	1.0122	0.6672	1.129	0.9797	0.8981	4	1.1142
Psg22	0.2702	0.275	1.4834	1.1493	0.2726	1.3163	4	1.1142
Fcgbp	0.6645	0.7664	2.5281	2.2555	0.7154	2.3918	4	1.1143
Gm12225	0.3115	0.3161	1.0321	1.4356	0.3138	1.2339	4	1.1143
Strc	0.4988	1.0854	2.4952	2.2461	0.7921	2.3706	4	1.1144
Mir7232	0.2702	0.275	1.2461	1.2815	0.2726	1.2638	4	1.1145
Slurp1	1.5489	1.6341	2.0929	2.1506	1.5915	2.1217	4	1.1147
Gm38093	0.5331	0.5763	2.4	2.2645	0.5547	2.3323	4	1.115
Mir3110	0.4626	0.5069	0.7536	1.8793	0.4847	1.3165	4	1.1153
Olfr649	0.1865	0.4709	1.0086	1.4515	0.3287	1.2301	4	1.1154
n-R5s125	0.0963	0.4709	2.1683	1.5748	0.2836	1.8716	4	1.1155
AC152169.1	1.6313	1.7592	1.8659	1.9829	1.6952	1.9244	4	1.1156
Gm12529	0.7251	1.0122	0.7536	1.025	0.8686	0.8893	4	1.1157
Gm43605	0.1865	0.3161	1.2654	1.3346	0.2513	1.3	4	1.1158
Ly6g6d	1.3874	1.2437	2.5363	2.0587	1.3155	2.2975	4	1.1159
Gm44910	0.7251	1.4049	0.7536	1.1686	1.065	0.9611	4	1.1159
AC165292.1	0.229	0.3573	1.0552	1.4834	0.2931	1.2693	4	1.116
Gm14273	0.6003	0.5763	2.4179	2.2827	0.5883	2.3503	4	1.1161
Mir6346	1.7242	1.6663	1.9294	1.903	1.6953	1.9162	4	1.1161
AC090496.1	0.4988	0.3962	2.2597	2.2555	0.4475	2.2576	4	1.1162
Prr5	1.1401	1.3063	2.5281	2.2274	1.2232	2.3778	4	1.1166
Pcdhga4	1.6938	1.7887	1.7022	1.7018	1.7412	1.702	4	1.1168
Gm28069	0.2702	0.144	1.342	1.5145	0.2071	1.4282	4	1.1168
Krt88	0.8123	0.6745	2.5605	2.2088	0.7434	2.3846	4	1.117
Gm24841	0.3115	0.5763	2.308	2.1897	0.4439	2.2488	4	1.117
Mir5622	0.8679	0.7364	0.7536	1.0461	0.8021	0.8999	4	1.1171
Dalir	0.2702	0.275	1.1641	1.369	0.2726	1.2666	4	1.1172
Gm44127	0.8953	1.0122	2.6681	2.1003	0.9538	2.3842	4	1.1173
Gm10277	1.8115	1.5331	1.2461	1.6182	1.6723	1.4322	4	1.1176
Mapk10	1.0704	0.7958	2.4441	2.4122	0.9331	2.4282	4	1.1176
Gm17172	0.7251	0.7058	2.2693	2.5385	0.7154	2.4039	4	1.1177
Gm24597	0.6003	0.4709	2.308	2.336	0.5356	2.322	4	1.1177
Gm44495	1.5821	1.7133	1.1217	1.5296	1.6477	1.3256	4	1.1177
Gm44714	0.5331	1.1776	2.3173	2.4607	0.8553	2.389	4	1.1178
Gm44798	0.6645	0.5069	0.6969	1.4027	0.5857	1.0498	4	1.118
Rab39b	1.5489	1.729	1.3785	2.1798	1.639	1.7792	4	1.1181
Gm807	1.754	1.5845	2.0018	1.9264	1.6693	1.9641	4	1.1182
Recql5os1	0.7841	0.987	0.8351	0.913	0.8855	0.8741	4	1.1182
Gm15739	0.8408	0.8813	0.8351	0.913	0.861	0.8741	4	1.1184
Gm26165	1.0704	1.5155	0.8608	1.0881	1.2929	0.9745	4	1.1184
Gm26896	1.5316	1.7133	1.1427	1.3522	1.6224	1.2475	4	1.1187
AC163038.2	0.9214	0.987	0.7816	0.959	0.9542	0.8703	4	1.1189
Bank1	0.8953	0.8813	0.6672	1.129	0.8883	0.8981	4	1.1191
4930511E03Rik	0.8408	1.1776	2.4526	2.4203	1.0092	2.4365	4	1.1192
CT030260.1	0.6645	0.987	1.0086	0.7916	0.8257	0.9001	4	1.1195
9530013L04Rik	0.6645	0.987	2.4613	2.3956	0.8257	2.4284	4	1.1198
Gm24455	0.5331	1.0614	0.7536	1.109	0.7972	0.9313	4	1.1201
Gm25056	0.6951	0.9084	0.9366	0.8408	0.8018	0.8887	4	1.1201
Gm45456	0.3115	0.2327	1.2259	1.2992	0.2721	1.2626	4	1.1202
Art2b	0.2702	0.275	1.517	1.129	0.2726	1.323	4	1.1203
Gm12188	1.6785	1.5504	1.0321	1.7416	1.6145	1.3868	4	1.1204
Pla2g5	1.0229	0.7958	2.4699	2.3956	0.9093	2.4327	4	1.1205
Gm3211	0.2702	0.5763	0.8351	1.4988	0.4233	1.1669	4	1.1207
Gm27796	0.3505	0.189	1.1427	1.4515	0.2698	1.2971	4	1.1208
Gm23297	0.8953	0.7958	0.6369	1.2073	0.8455	0.9221	4	1.1209
Gm25151	0.3885	0.7058	2.3454	2.3095	0.5471	2.3274	4	1.121
Gm25802	0.229	0.6425	1.3785	0.913	0.4357	1.1458	4	1.1213
AC159239.1	0.4988	0.7958	2.4354	2.3185	0.6473	2.3769	4	1.1213
Gm22089	1.4615	1.2222	0.7536	1.3173	1.3419	1.0355	4	1.1214
CT010506.4	0.8953	0.9613	0.6369	1.1686	0.9283	0.9028	4	1.1214
Gm20451	0.1414	0.275	1.2654	1.5748	0.2082	1.4201	4	1.1215
Gm27980	0.3885	0.542	0.8608	2.1207	0.4652	1.4907	4	1.1215
Mir1892	1.0468	0.7364	0.8082	0.9811	0.8916	0.8947	4	1.1216
Gm13478	0.3115	0.6745	0.7536	1.5296	0.493	1.1416	4	1.1216
Gm43485	0.1865	0.3161	1.3045	1.2815	0.2513	1.293	4	1.1218
Gm43356	0.0482	0.5069	1.2461	1.3346	0.2776	1.2903	4	1.122
Mroh4	0.4265	0.3161	2.2299	2.1405	0.3713	2.1852	4	1.1221
Gm26640	1.7974	1.5675	1.7727	2.0479	1.6825	1.9103	4	1.1224
Gstm3	0.8123	0.7664	2.4867	2.3702	0.7893	2.4284	4	1.1225
Gm45307	0.4626	0.7058	2.4441	2.2461	0.5842	2.3451	4	1.1226
Gm17416	0.3885	0.434	2.2397	2.237	0.4112	2.2383	4	1.1228
Acap1	1.4065	1.8032	1.0552	1.5145	1.6049	1.2848	4	1.1229
Vmn2r-ps13	0.4626	0.542	0.7251	1.4988	0.5023	1.1119	4	1.1232
Gm28981	1.6785	1.7442	1.3045	1.6041	1.7113	1.4543	4	1.1235
Gm27855	0.7553	0.9351	0.9123	0.8408	0.8452	0.8765	4	1.1236
AC153940.2	1.117	1.4049	2.4179	2.3445	1.261	2.3812	4	1.1238
Gm14481	0.2702	0.4709	0.9855	2.0898	0.3706	1.5377	4	1.1239
Gm5763	0.4988	0.3962	2.104	2.4038	0.4475	2.2539	4	1.1244
Lyg2	0.5666	0.9084	2.373	2.4529	0.7375	2.4129	4	1.1246
Pcdhac1	0.7553	1.2648	2.4526	2.3871	1.0101	2.4198	4	1.1248
Gm22321	0.1865	0.275	1.7862	1.2449	0.2308	1.5155	4	1.1249
Gm16163	1.117	1.2004	2.5842	2.2088	1.1587	2.3965	4	1.1251
Gm37790	1.4967	1.3663	2.2889	2.2827	1.4315	2.2858	4	1.1252
Gm43176	0.7251	0.542	0.6369	1.4834	0.6335	1.0601	4	1.1253
Ms4a15	0.6951	1.2004	2.5117	2.3185	0.9477	2.4151	4	1.1254
Gm14199	0.7553	0.6745	2.5117	2.2916	0.7149	2.4017	4	1.1258
Gm25423	0.3505	0.2327	1.0996	1.3857	0.2916	1.2427	4	1.1258
Gm6821	1.739	1.6012	1.6875	1.2259	1.6701	1.4567	4	1.126
Gm13215	0.5331	0.7664	2.3454	2.4367	0.6497	2.391	4	1.1262
Il31	0.6645	0.8254	2.52	2.3095	0.7449	2.4148	4	1.1262
Gm24644	0.4626	1.0122	1.0086	0.8655	0.7374	0.9371	4	1.1263
Gm6286	0.2702	0.7058	2.4613	1.9716	0.488	2.2164	4	1.1264
8030474K03Rik	0.4265	0.3573	0.8608	1.8793	0.3919	1.37	4	1.1265
Tmem182	1.754	1.6978	1.7727	1.903	1.7259	1.8379	4	1.1265
Gm15460	0.5666	0.9084	0.6672	1.2259	0.7375	0.9466	4	1.1266
Gm7076	0.1865	0.3161	1.0996	1.6466	0.2513	1.3731	4	1.1269
Gm37851	1.184	1.2437	2.3547	2.4688	1.2138	2.4118	4	1.127
AC121871.1	1.6471	1.5845	2.1683	1.9939	1.6158	2.0811	4	1.1272
Gm24312	0.0963	0.4709	2.1994	1.6182	0.2836	1.9088	4	1.1273
n-R5s127	0.0963	0.4709	2.1994	1.6182	0.2836	1.9088	4	1.1273
Gm16195	1.7685	1.7133	1.5003	1.6182	1.7409	1.5593	4	1.1273
Gm17994	0.0963	0.3573	1.4494	1.2815	0.2268	1.3655	4	1.1274
Gm14276	1.3874	1.1551	0.8867	1.0036	1.2712	0.9452	4	1.1275
Speer4cos	0.3115	0.987	0.8082	1.2073	0.6492	1.0077	4	1.1275
Krt2	0.4988	0.5069	2.4867	2.0479	0.5028	2.2673	4	1.1276
Traj57	0.6323	0.434	2.4354	2.1702	0.5331	2.3028	4	1.1276
Gm13872	0.5666	0.6745	2.5445	2.1506	0.6205	2.3475	4	1.1278
Gm20687	1.5988	1.4977	2.3454	1.8793	1.5483	2.1124	4	1.1279
Thtpa	1.5988	1.4977	2.3454	1.8793	1.5483	2.1124	4	1.1279
Tmco5b	0.1865	0.3573	1.1427	1.369	0.2719	1.2559	4	1.1281
Gm22961	0.5666	0.3573	2.3363	2.1897	0.4619	2.263	4	1.1286
5830487J09Rik	0.8123	0.8254	0.6369	1.1884	0.8188	0.9127	4	1.1289
Gm22528	0.229	0.6745	0.8082	1.8552	0.4517	1.3317	4	1.1289
Gm5478	0.3885	0.3573	2.1994	2.2088	0.3729	2.2041	4	1.129
Mir672	0.4626	0.7664	0.6672	1.9939	0.6145	1.3305	4	1.1294
Clec5a	0.7841	0.7058	0.6672	1.1884	0.7449	0.9278	4	1.1295
Ccdc175	0.3115	0.275	1.3785	1.109	0.2933	1.2438	4	1.1299
Gm35801	0.6003	0.6425	2.308	2.4607	0.6214	2.3844	4	1.1301
2610024D14Rik	1.4615	1.1551	0.8608	1.0881	1.3083	0.9745	4	1.1302
Gm5431	1.3685	0.987	0.8351	1.025	1.1777	0.9301	4	1.1302
5430427O19Rik	1.117	0.7958	0.5753	1.9829	0.9564	1.2791	4	1.1304
1700041C23Rik	0.6003	0.6425	2.2197	2.5308	0.6214	2.3753	4	1.1306
Zbtb32	1.2892	1.9415	2.1147	1.6604	1.6154	1.8875	4	1.1306
Gm44383	0.5331	0.275	2.3454	2.0158	0.404	2.1806	4	1.1306
Gm14869	0.6323	0.9084	0.5753	1.9716	0.7703	1.2735	4	1.131
Gm24840	0.7841	0.7364	0.6672	1.1686	0.7602	0.9179	4	1.1311
Gm45485	0.6323	0.6745	0.6369	1.3522	0.6534	0.9946	4	1.1312
Mir7083	0.8953	0.9351	0.6369	1.1493	0.9152	0.8931	4	1.1315
Gm22370	0.4626	0.6745	0.6672	1.4678	0.5685	1.0675	4	1.1317
Trpm1	1.4967	1.6503	2.147	2.1798	1.5735	2.1634	4	1.1318
Gm44302	1.5988	1.8176	1.9899	1.7286	1.7082	1.8592	4	1.1319
Adad2	0.9471	1.037	2.5445	2.3533	0.9921	2.4489	4	1.132
